order_date_epoch,order_date,profit
1420243200,2015-01-03,5.5512
1420329600,2015-01-04,-65.9901
1420588800,2015-01-07,-71.9621
1420761600,2015-01-09,10.918
1421712000,2015-01-20,183.5546
1421971200,2015-01-23,0
1422230400,2015-01-26,44.7684
1422576000,2015-01-30,11.6502
1422748800,2015-02-01,206.316
1423180800,2015-02-06,-14.7708
1423612800,2015-02-11,106.7911
1423872000,2015-02-14,6.066
1424044800,2015-02-16,-15.658
1424131200,2015-02-17,8.8088
1424217600,2015-02-18,-13.8468
1424390400,2015-02-20,29.3404
1424476800,2015-02-21,-13.7175
1424649600,2015-02-23,-4.5225
1425168000,2015-03-01,-262.0416
1425340800,2015-03-03,-459.6072
1425945600,2015-03-10,10.7424
1426291200,2015-03-14,158.687
1426550400,2015-03-17,115.8478
1426982400,2015-03-22,6.512
1427500800,2015-03-28,109.5012
1427587200,2015-03-29,-152.7156
1427673600,2015-03-30,198.8579
1427760000,2015-03-31,0.1694
1427932800,2015-04-02,19.817
1428105600,2015-04-04,26.1601
1428192000,2015-04-05,58.4739
1428710400,2015-04-11,265.4232
1428796800,2015-04-12,15.552
1429315200,2015-04-18,61.7937
1429488000,2015-04-20,-222.016
1429920000,2015-04-25,4.1748
1430611200,2015-05-03,10.3488
1430697600,2015-05-04,25.7448
1430784000,2015-05-05,-5.1743
1431302400,2015-05-11,-299.3045
1431388800,2015-05-12,10.7849
1431820800,2015-05-17,45.84
1431907200,2015-05-18,1.4442
1431993600,2015-05-19,26.4132
1432080000,2015-05-20,-19.3413
1432166400,2015-05-21,-37.6056
1432512000,2015-05-25,-190.509
1432598400,2015-05-26,5.7378
1432684800,2015-05-27,-30.555
1432944000,2015-05-30,-49.8411
1433116800,2015-06-01,1233.5583
1433289600,2015-06-03,-17.385
1433548800,2015-06-06,0.4392
1433635200,2015-06-07,-230.3316
1433808000,2015-06-09,17.154
1433894400,2015-06-10,240.8595
1434240000,2015-06-14,57.4938
1434326400,2015-06-15,-78.241
1434412800,2015-06-16,32.392
1434499200,2015-06-17,22.4808
1434758400,2015-06-20,-62.9594
1434931200,2015-06-22,9.7164
1435449600,2015-06-28,3.04
1435622400,2015-06-30,17.9048
1436054400,2015-07-05,-79.3332
1436400000,2015-07-09,8.1138
1436572800,2015-07-11,46.8264
1436659200,2015-07-12,11.7154
1436832000,2015-07-14,-42.5674
1436918400,2015-07-15,3.9882
1437350400,2015-07-20,-115.8528
1437436800,2015-07-21,-69.0488
1437523200,2015-07-22,1.3316
1437868800,2015-07-26,-3820.507
1438473600,2015-08-02,248.0276
1438732800,2015-08-05,41.934
1438992000,2015-08-08,436.102
1439596800,2015-08-15,-52.632
1439769600,2015-08-17,5.4432
1440028800,2015-08-20,-6.0196
1440201600,2015-08-22,5.6644
1440288000,2015-08-23,9.5256
1440460800,2015-08-25,-59.6184
1441065600,2015-09-01,4.8672
1441152000,2015-09-02,27.9129
1441238400,2015-09-03,-11.52
1441584000,2015-09-07,-78.2367999999999
1441670400,2015-09-08,-1904.2052
1441756800,2015-09-09,55.205
1442016000,2015-09-12,172.3968
1442102400,2015-09-13,-9.7176
1442188800,2015-09-14,-144.195
1442620800,2015-09-19,-761.9928
1442707200,2015-09-20,-474.697
1442793600,2015-09-21,14.0438
1442880000,2015-09-22,-82.884
1442966400,2015-09-23,4668.6935
1443139200,2015-09-25,-89.928
1443225600,2015-09-26,37.0544
1443830400,2015-10-03,-93.3839
1444089600,2015-10-06,61.7676
1444176000,2015-10-07,10.744
1444435200,2015-10-10,117.4008
1444608000,2015-10-12,2.502
1444780800,2015-10-14,719.2164
1445040000,2015-10-17,-36.838
1445299200,2015-10-20,106.4697
1445990400,2015-10-28,74.8142
1446076800,2015-10-29,378.5486
1446336000,2015-11-01,5.1012
1446422400,2015-11-02,7.7679
1446508800,2015-11-03,18.8937
1446854400,2015-11-07,74.4533
1447113600,2015-11-10,299.7966
1447200000,2015-11-11,-1392.1459
1447286400,2015-11-12,41.4348
1447459200,2015-11-14,19.2624
1447545600,2015-11-15,204.0714
1447632000,2015-11-16,117.6046
1447718400,2015-11-17,84.061
1447804800,2015-11-18,-248.6285
1447891200,2015-11-19,136.4532
1448064000,2015-11-21,17.2983
